sample_id,document_version_id,document_id,business_type_code,document_title,original_filename,sha256,source_format,storage_verified,duplicate_of_sample_id,technical_review_status,approval_evidence,usage_role,blind_eligible,notes
S011,182,182,wind_turbine_inspection_four_measures_two_plans,合发风电场#11风机扫塔探伤项目三措两案.docx,合发风电场#11风机扫塔探伤项目三措两案.docx,6dc5ad01a66e28be8c00d22d5cf5401453df831bc4bbfcb7eeba7891c3c89f09,docx,yes,,approved,项目方确认技术方案内措两案正确并于2026-07-24作为盲测重新上传,blind,yes,仅核对元数据和哈希；正文保持隔离
S012,183,183,wind_turbine_inspection_four_measures_two_plans,华润河南太康项目变桨齿轮箱四措两案.docx,华润河南太康项目变桨齿轮箱四措两案.docx,ffa8771a53cb35e0eea7cfb8d2b755ce211f12d97852bbc80ff9eb4c5137f94d,docx,yes,,approved,项目方确认技术方案内措两案正确并于2026-07-24作为盲测重新上传,blind,yes,仅核对元数据和哈希；正文保持隔离
S013,184,184,wind_turbine_inspection_four_measures_two_plans,吉林通榆主机设备出质保检测四措两案.docx,吉林通榆主机设备出质保检测四措两案.docx,539fd52ae981f701e3f8f18d155926dd125af95e780b77c0665b01552fc48d9b,docx,yes,S005,excluded_duplicate,SHA-256与S005相同,excluded,no,2026-07-24重新上传；重复文件不计入盲测
S014,185,185,wind_turbine_inspection_four_measures_two_plans,景新乌力吉WE28#风机扫塔探伤项目四措两案.docx,景新乌力吉WE28#风机扫塔探伤项目四措两案.docx,15e0e106f4da48bd0d9c7069fec7fe102d7aa2e60239b72149533da64ca2341d,docx,yes,S003,excluded_duplicate,SHA-256与S003相同,excluded,no,2026-07-24重新上传；重复文件不计入盲测
S015,186,186,wind_turbine_inspection_four_measures_two_plans,内蒙古联合动力新能源有限公司19台机组塔筒焊缝超声探伤项目三措两案20250922.docx,内蒙古联合动力新能源有限公司19台机组塔筒焊缝超声探伤项目三措两案20250922.docx,25f02e3cf345602bcb212c5115914ecf56364669012846aca90e30c67bc8f077,docx,yes,,approved,项目方确认技术方案内措两案正确并于2026-07-24作为盲测重新上传,blind,yes,仅核对元数据和哈希；正文保持隔离
S016,187,187,wind_turbine_inspection_four_measures_two_plans,四川古蔺风电场24台风机主轴超声波探伤项目四措两案20251229.docx,四川古蔺风电场24台风机主轴超声波探伤项目四措两案20251229.docx,b2b248fcc5d4a7dbf4ab547df670e5016abf50c18b7dce0474dfcc2ed8a1610b,docx,yes,,approved,项目方确认技术方案内措两案正确并于2026-07-24作为盲测重新上传,blind,yes,仅核对元数据和哈希；正文保持隔离
S017,188,188,wind_turbine_inspection_four_measures_two_plans,通川二期风电场风电机组出质保检测项目四措两案2026(3).docx,通川二期风电场风电机组出质保检测项目四措两案2026(3).docx,7edc1606f4bcfbb8472ac194b1606fc5deac31b5c582c98eb02e32169d969cfd,docx,yes,,approved,项目方确认技术方案内措两案正确并于2026-07-24作为盲测重新上传,blind,yes,仅核对元数据和哈希；正文保持隔离
S018,189,189,wind_turbine_inspection_four_measures_two_plans,中船海装山西大同天镇项目10#机组叶片螺栓探伤服务项目三措两案20251229.docx,中船海装山西大同天镇项目10#机组叶片螺栓探伤服务项目三措两案20251229.docx,827f02129fc32d212e3bd134625365c1ef5d3b94bcca929c1a005451383f9019,docx,yes,,approved,项目方确认技术方案内措两案正确并于2026-07-24作为盲测重新上传,blind,yes,仅核对元数据和哈希；正文保持隔离
S019,190,190,wind_turbine_inspection_four_measures_two_plans,WE27#风机扫塔探伤项目三措两案.docx,WE27#风机扫塔探伤项目三措两案.docx,bbb6c3c367d2f0ff084c86590c7a1d13ecf21f18d5fe3cfebf262432ef71f437,docx,yes,S002,excluded_duplicate,SHA-256与S002相同,excluded,no,2026-07-24重新上传；重复文件不计入盲测
S020,191,191,wind_turbine_inspection_four_measures_two_plans,大荔官池50MW风电机组质保期满检测四措两案.docx,大荔官池50MW风电机组质保期满检测四措两案.docx,7ae8700aa39785ac64064e17d479dcb2ce2352447b9554672b6d8686352b57f0,docx,yes,S006,excluded_duplicate,SHA-256与S006相同,excluded,no,2026-07-24重新上传；重复文件不计入盲测
S021,192,192,wind_turbine_inspection_four_measures_two_plans,当涂风电场塔筒凹陷测量三措两案.pdf,当涂风电场塔筒凹陷测量三措两案.pdf,46ae74fd5e8d676233a4be74ce92c97e1e7ec1e031a91076ca146ffe60575945,pdf,yes,,excluded_format,盲测门禁要求DOCX,excluded,no,2026-07-24重新上传；PDF不计入本期盲测样本
